cohort,record_id,subject_id,record_path,cache_path,num_beats,num_segments
"01.Holter(Local Clinic), 124 records)",DN077_7149_20210830,"01.Holter(Local Clinic), 124 records)::DN077","/tmp/hicardi_01only/01.Holter(Local Clinic), 124 records)/DN077_7149_20210830.mat","/home/isplab/workspace/ECG_Classification_HiCardi/hicardi_beat_cache_01holter/cohorts/01.Holter(Local Clinic), 124 records)/DN077_7149_20210830",69211,86
"01.Holter(Local Clinic), 124 records)",DN001_7000_20210927,"01.Holter(Local Clinic), 124 records)::DN001","/tmp/hicardi_01only/01.Holter(Local Clinic), 124 records)/DN001_7000_20210927.mat","/home/isplab/workspace/ECG_Classification_HiCardi/hicardi_beat_cache_01holter/cohorts/01.Holter(Local Clinic), 124 records)/DN001_7000_20210927",62453,12
"01.Holter(Local Clinic), 124 records)",DN100_7150_20210901,"01.Holter(Local Clinic), 124 records)::DN100","/tmp/hicardi_01only/01.Holter(Local Clinic), 124 records)/DN100_7150_20210901.mat","/home/isplab/workspace/ECG_Classification_HiCardi/hicardi_beat_cache_01holter/cohorts/01.Holter(Local Clinic), 124 records)/DN100_7150_20210901",44633,278
"01.Holter(Local Clinic), 124 records)",DN025_7125_20210915,"01.Holter(Local Clinic), 124 records)::DN025","/tmp/hicardi_01only/01.Holter(Local Clinic), 124 records)/DN025_7125_20210915.mat","/home/isplab/workspace/ECG_Classification_HiCardi/hicardi_beat_cache_01holter/cohorts/01.Holter(Local Clinic), 124 records)/DN025_7125_20210915",26251,74
"01.Holter(Local Clinic), 124 records)",DN083_7149_20210913,"01.Holter(Local Clinic), 124 records)::DN083","/tmp/hicardi_01only/01.Holter(Local Clinic), 124 records)/DN083_7149_20210913.mat","/home/isplab/workspace/ECG_Classification_HiCardi/hicardi_beat_cache_01holter/cohorts/01.Holter(Local Clinic), 124 records)/DN083_7149_20210913",74369,66
"01.Holter(Local Clinic), 124 records)",DN060_7140_20210819,"01.Holter(Local Clinic), 124 records)::DN060","/tmp/hicardi_01only/01.Holter(Local Clinic), 124 records)/DN060_7140_20210819.mat","/home/isplab/workspace/ECG_Classification_HiCardi/hicardi_beat_cache_01holter/cohorts/01.Holter(Local Clinic), 124 records)/DN060_7140_20210819",51226,11
"01.Holter(Local Clinic), 124 records)",DN008_7117_20210803,"01.Holter(Local Clinic), 124 records)::DN008","/tmp/hicardi_01only/01.Holter(Local Clinic), 124 records)/DN008_7117_20210803.mat","/home/isplab/workspace/ECG_Classification_HiCardi/hicardi_beat_cache_01holter/cohorts/01.Holter(Local Clinic), 124 records)/DN008_7117_20210803",74841,50
"01.Holter(Local Clinic), 124 records)",DN029_7127_20210914,"01.Holter(Local Clinic), 124 records)::DN029","/tmp/hicardi_01only/01.Holter(Local Clinic), 124 records)/DN029_7127_20210914.mat","/home/isplab/workspace/ECG_Classification_HiCardi/hicardi_beat_cache_01holter/cohorts/01.Holter(Local Clinic), 124 records)/DN029_7127_20210914",80791,6
"01.Holter(Local Clinic), 124 records)",DN087_7149_20210928,"01.Holter(Local Clinic), 124 records)::DN087","/tmp/hicardi_01only/01.Holter(Local Clinic), 124 records)/DN087_7149_20210928.mat","/home/isplab/workspace/ECG_Classification_HiCardi/hicardi_beat_cache_01holter/cohorts/01.Holter(Local Clinic), 124 records)/DN087_7149_20210928",53849,6
"01.Holter(Local Clinic), 124 records)",DN079_7149_20210901,"01.Holter(Local Clinic), 124 records)::DN079","/tmp/hicardi_01only/01.Holter(Local Clinic), 124 records)/DN079_7149_20210901.mat","/home/isplab/workspace/ECG_Classification_HiCardi/hicardi_beat_cache_01holter/cohorts/01.Holter(Local Clinic), 124 records)/DN079_7149_20210901",48562,142
"01.Holter(Local Clinic), 124 records)",DN122_7256_20211021,"01.Holter(Local Clinic), 124 records)::DN122","/tmp/hicardi_01only/01.Holter(Local Clinic), 124 records)/DN122_7256_20211021.mat","/home/isplab/workspace/ECG_Classification_HiCardi/hicardi_beat_cache_01holter/cohorts/01.Holter(Local Clinic), 124 records)/DN122_7256_20211021",9217,3
"01.Holter(Local Clinic), 124 records)",DN076_7149_20210826,"01.Holter(Local Clinic), 124 records)::DN076","/tmp/hicardi_01only/01.Holter(Local Clinic), 124 records)/DN076_7149_20210826.mat","/home/isplab/workspace/ECG_Classification_HiCardi/hicardi_beat_cache_01holter/cohorts/01.Holter(Local Clinic), 124 records)/DN076_7149_20210826",54707,5
"01.Holter(Local Clinic), 124 records)",DN027_7126_20210903,"01.Holter(Local Clinic), 124 records)::DN027","/tmp/hicardi_01only/01.Holter(Local Clinic), 124 records)/DN027_7126_20210903.mat","/home/isplab/workspace/ECG_Classification_HiCardi/hicardi_beat_cache_01holter/cohorts/01.Holter(Local Clinic), 124 records)/DN027_7126_20210903",30454,20
"01.Holter(Local Clinic), 124 records)",DN084_7149_20210915,"01.Holter(Local Clinic), 124 records)::DN084","/tmp/hicardi_01only/01.Holter(Local Clinic), 124 records)/DN084_7149_20210915.mat","/home/isplab/workspace/ECG_Classification_HiCardi/hicardi_beat_cache_01holter/cohorts/01.Holter(Local Clinic), 124 records)/DN084_7149_20210915",63502,13
"01.Holter(Local Clinic), 124 records)",DN109_7150_20210917,"01.Holter(Local Clinic), 124 records)::DN109","/tmp/hicardi_01only/01.Holter(Local Clinic), 124 records)/DN109_7150_20210917.mat","/home/isplab/workspace/ECG_Classification_HiCardi/hicardi_beat_cache_01holter/cohorts/01.Holter(Local Clinic), 124 records)/DN109_7150_20210917",67962,4
"01.Holter(Local Clinic), 124 records)",DN095_7150_20210818,"01.Holter(Local Clinic), 124 records)::DN095","/tmp/hicardi_01only/01.Holter(Local Clinic), 124 records)/DN095_7150_20210818.mat","/home/isplab/workspace/ECG_Classification_HiCardi/hicardi_beat_cache_01holter/cohorts/01.Holter(Local Clinic), 124 records)/DN095_7150_20210818",59434,51
"01.Holter(Local Clinic), 124 records)",DN047_7133_20210819,"01.Holter(Local Clinic), 124 records)::DN047","/tmp/hicardi_01only/01.Holter(Local Clinic), 124 records)/DN047_7133_20210819.mat","/home/isplab/workspace/ECG_Classification_HiCardi/hicardi_beat_cache_01holter/cohorts/01.Holter(Local Clinic), 124 records)/DN047_7133_20210819",49632,103
"01.Holter(Local Clinic), 124 records)",DN038_7129_20210830,"01.Holter(Local Clinic), 124 records)::DN038","/tmp/hicardi_01only/01.Holter(Local Clinic), 124 records)/DN038_7129_20210830.mat","/home/isplab/workspace/ECG_Classification_HiCardi/hicardi_beat_cache_01holter/cohorts/01.Holter(Local Clinic), 124 records)/DN038_7129_20210830",19062,15
"01.Holter(Local Clinic), 124 records)",DN085_7149_20210916,"01.Holter(Local Clinic), 124 records)::DN085","/tmp/hicardi_01only/01.Holter(Local Clinic), 124 records)/DN085_7149_20210916.mat","/home/isplab/workspace/ECG_Classification_HiCardi/hicardi_beat_cache_01holter/cohorts/01.Holter(Local Clinic), 124 records)/DN085_7149_20210916",43104,5
"01.Holter(Local Clinic), 124 records)",DN069_7141_20210911,"01.Holter(Local Clinic), 124 records)::DN069","/tmp/hicardi_01only/01.Holter(Local Clinic), 124 records)/DN069_7141_20210911.mat","/home/isplab/workspace/ECG_Classification_HiCardi/hicardi_beat_cache_01holter/cohorts/01.Holter(Local Clinic), 124 records)/DN069_7141_20210911",63541,56
"01.Holter(Local Clinic), 124 records)",DN082_7149_20210909,"01.Holter(Local Clinic), 124 records)::DN082","/tmp/hicardi_01only/01.Holter(Local Clinic), 124 records)/DN082_7149_20210909.mat","/home/isplab/workspace/ECG_Classification_HiCardi/hicardi_beat_cache_01holter/cohorts/01.Holter(Local Clinic), 124 records)/DN082_7149_20210909",81929,10
"01.Holter(Local Clinic), 124 records)",DN057_7139_20210826,"01.Holter(Local Clinic), 124 records)::DN057","/tmp/hicardi_01only/01.Holter(Local Clinic), 124 records)/DN057_7139_20210826.mat","/home/isplab/workspace/ECG_Classification_HiCardi/hicardi_beat_cache_01holter/cohorts/01.Holter(Local Clinic), 124 records)/DN057_7139_20210826",69675,46
"01.Holter(Local Clinic), 124 records)",DN102_7150_20210906,"01.Holter(Local Clinic), 124 records)::DN102","/tmp/hicardi_01only/01.Holter(Local Clinic), 124 records)/DN102_7150_20210906.mat","/home/isplab/workspace/ECG_Classification_HiCardi/hicardi_beat_cache_01holter/cohorts/01.Holter(Local Clinic), 124 records)/DN102_7150_20210906",72079,4
"01.Holter(Local Clinic), 124 records)",DN073_7149_20210817,"01.Holter(Local Clinic), 124 records)::DN073","/tmp/hicardi_01only/01.Holter(Local Clinic), 124 records)/DN073_7149_20210817.mat","/home/isplab/workspace/ECG_Classification_HiCardi/hicardi_beat_cache_01holter/cohorts/01.Holter(Local Clinic), 124 records)/DN073_7149_20210817",37151,20
"01.Holter(Local Clinic), 124 records)",DN039_7129_20210903,"01.Holter(Local Clinic), 124 records)::DN039","/tmp/hicardi_01only/01.Holter(Local Clinic), 124 records)/DN039_7129_20210903.mat","/home/isplab/workspace/ECG_Classification_HiCardi/hicardi_beat_cache_01holter/cohorts/01.Holter(Local Clinic), 124 records)/DN039_7129_20210903",61587,48
"01.Holter(Local Clinic), 124 records)",DN118_7150_20211015,"01.Holter(Local Clinic), 124 records)::DN118","/tmp/hicardi_01only/01.Holter(Local Clinic), 124 records)/DN118_7150_20211015.mat","/home/isplab/workspace/ECG_Classification_HiCardi/hicardi_beat_cache_01holter/cohorts/01.Holter(Local Clinic), 124 records)/DN118_7150_20211015",37119,164
